"Tindex","Aindex","Sindex","TAindex","TSindex","ASindex","R"
12,8,2,272,24,16,-0.0134959185652503
12,9,1,273,23,17,-0.0061348560810885
12,9,2,273,24,18,0.0061348560810885
12,10,1,274,23,19,-0.0081781498933839
12,10,2,274,24,20,0.0081781498933839
12,11,1,275,23,21,-0.0048400271831954
12,11,2,275,24,22,0.0048400271831954
12,12,1,276,23,23,0.0217548419135941
12,12,2,276,24,24,-0.0217548419135941
12,13,1,277,23,25,0.00614472423017581
12,13,2,277,24,26,-0.00614472423017581
12,14,1,278,23,27,-0.00827631740748872
12,14,2,278,24,28,0.00827631740748872
12,15,1,279,23,29,-0.00466490834874233
12,15,2,279,24,30,0.00466490834874233
12,16,1,280,23,31,-0.0129470526858385
12,16,2,280,24,32,0.0129470526858385
12,17,1,281,23,33,-0.00529934365634272
12,17,2,281,24,34,0.00529934365634272
12,18,1,282,23,35,-0.00534061783141251
12,18,2,282,24,36,0.00534061783141251
12,19,1,283,23,37,-0.00330664502089087
12,19,2,283,24,38,0.00330664502089087
12,20,1,284,23,39,0.00297028426001486
12,20,2,284,24,40,-0.00297028426001486
12,21,1,285,23,41,0.00768846036726799
12,21,2,285,24,42,-0.00768846036726799
12,22,1,286,23,43,0.00640785059378007
12,22,2,286,24,44,-0.00640785059378007
12,23,1,287,23,45,0.0244901886298832
12,23,2,287,24,46,-0.0244901886298832
12,24,1,288,23,47,-0.0893874472550687
12,24,2,288,24,48,0.0893874472550687
13,1,1,289,25,1,0.00567520814786729
13,1,2,289,26,2,-0.00567520814786728
13,2,1,290,25,3,-0.00436019776233385
13,2,2,290,26,4,0.00436019776233385
13,3,1,291,25,5,-0.00240682311539191
13,3,2,291,26,6,0.00240682311539191
13,4,1,292,25,7,-0.00431407106926741
13,4,2,292,26,8,0.00431407106926741
13,5,1,293,25,9,0.00909312360861891
13,5,2,293,26,10,-0.00909312360861891
13,6,1,294,25,11,0.0222061728189169
13,6,2,294,26,12,-0.0222061728189169
13,7,1,295,25,13,0.0234514089297264
13,7,2,295,26,14,-0.0234514089297264
13,8,1,296,25,15,0.00965058981329373
13,8,2,296,26,16,-0.00965058981329373
13,9,1,297,25,17,-0.00327195707276585
13,9,2,297,26,18,0.00327195707276585
13,10,1,298,25,19,-0.00446360955492387
13,10,2,298,26,20,0.00446360955492387
13,11,1,299,25,21,-0.00878485722373604
13,11,2,299,26,22,0.00878485722373604
13,12,1,300,25,23,0.0153784644330996
13,12,2,300,26,24,-0.0153784644330996
13,13,1,301,25,25,0.0168682942815787
13,13,2,301,26,26,-0.0168682942815787
13,14,1,302,25,27,0.00041262740857852
13,14,2,302,26,28,-0.00041262740857852
13,15,1,303,25,29,-0.00510274350026069
13,15,2,303,26,30,0.00510274350026069
13,16,1,304,25,31,-0.00974184834879371
13,16,2,304,26,32,0.00974184834879371
13,17,1,305,25,33,-0.00972268655756104
13,17,2,305,26,34,0.00972268655756104
13,18,1,306,25,35,-0.00700460138457844
13,18,2,306,26,36,0.00700460138457844
13,19,1,307,25,37,-0.0036571194171727
13,19,2,307,26,38,0.0036571194171727
13,20,1,308,25,39,0.00167594050640499
13,20,2,308,26,40,-0.00167594050640499
13,21,1,309,25,41,0.0109641343804499
13,21,2,309,26,42,-0.0109641343804499
13,22,1,310,25,43,0.0117875737782862
13,22,2,310,26,44,-0.0117875737782862
13,23,1,311,25,45,0.016018179609918
13,23,2,311,26,46,-0.016018179609918
13,24,1,312,25,47,-0.0803512027099535
13,24,2,312,26,48,0.0803512027099535
14,1,1,313,27,1,0.0010199105273201
14,1,2,313,28,2,-0.00101991052732009
14,2,1,314,27,3,0.0110572757429065
14,2,2,314,28,4,-0.0110572757429065
14,3,1,315,27,5,-0.0124396085622844
14,3,2,315,28,6,0.0124396085622844
14,4,1,316,27,7,-0.0126524531703568
14,4,2,316,28,8,0.0126524531703568
14,5,1,317,27,9,0.0137248654401383
14,5,2,317,28,10,-0.0137248654401383
14,6,1,318,27,11,0.0184275827327235
14,6,2,318,28,12,-0.0184275827327235
14,7,1,319,27,13,0.0182264584247643
14,7,2,319,28,14,-0.0182264584247643
14,8,1,320,27,15,0.0123940668608237
14,8,2,320,28,16,-0.0123940668608237
14,9,1,321,27,17,-0.00652989335676704
14,9,2,321,28,18,0.00652989335676704
14,10,1,322,27,19,-0.0266569328330538
14,10,2,322,28,20,0.0266569328330538
